Country;PostalCode;Suburb;Region;RegionCode;Province;ProvinceCode;City;Occurrences;Lat_Old;Long_Old
BE;2850;Boom;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;510.924;43.717
BE;2860;Sint-Katelijne-Waver;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.669;45.347
BE;2861;Onze-Lieve-Vrouw-Waver;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.627;45.794
BE;2870;Ruisbroek;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.883;43.313
BE;2870;Breendonk;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;51.043;43.236
BE;2870;Liezele;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;51.06;42.804
BE;2870;Puurs-Sint-Amands;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.663;43.059
BE;2870;Puurs;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.741;42.884
BE;2880;Mariekerke;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;51.065;41.925
BE;2880;Bornem;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.972;42.436
BE;2880;Weert;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;511.032;41.908
BE;2880;Hingene;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;511.035;4.269
BE;2890;Lippelo;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.426;4.259
BE;2890;Sint-Amands;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.564;42.096
BE;2890;Oppuurs;Vlaanderen;VLG;Anvers;VAN;Mechelen;12;510.663;42.422
BE;2900;Schoten;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.525;45.027
BE;2910;Essen;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;514.679;4.469
BE;2920;Kalmthout;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;513.844;44.756
BE;2930;Brasschaat;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.912;44.918
BE;2940;Stabroek;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;513.319;43.713
BE;2940;Hoevenen;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;51.306;4.402
BE;2950;Kapellen;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;513.138;44.354
BE;2960;Brecht;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;513.502;46.383
BE;2960;Sint-Job-In-'T-Goor;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.991;45.729
BE;2960;Sint-Lenaarts;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;513.487;46.801
BE;2970;'S Gravenwezel;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.627;45.611
BE;2970;Schilde;Vlaanderen;VLG;Anvers;VAN;Antwerpen;11;512.411;45.834
